FID	X	Y	GMT date_H	GMT date	Y	M	D	H	DOP	IDbear	IDsquare_025ha	IDsquare_100ha	IDsquare_900ha
1092768	1430350.04	6821453.43	2012-04-27 00:00	2012-04-27	2012	4	27	0	2,6	W1203	17036	4276	488
1092769	1430351.77	6821446.19	2012-04-27 01:00	2012-04-27	2012	4	27	1	4,6	W1203	17036	4276	488
1092770	1430340.51	6821440.93	2012-04-27 02:00	2012-04-27	2012	4	27	2	3,6	W1203	17036	4276	488
1092771	1430340.14	6821447.34	2012-04-27 03:00	2012-04-27	2012	4	27	3	2,4	W1203	17036	4276	488
1092772	1430345.02	6821464.28	2012-04-27 04:00	2012-04-27	2012	4	27	4	7	W1203	17036	4276	488
1092773	1430355.78	6821451.23	2012-04-27 05:00	2012-04-27	2012	4	27	5	5,4	W1203	17036	4276	488
1092774	1430244.17	6821476.23	2012-04-27 06:00	2012-04-27	2012	4	27	6	2,6	W1203	17036	4276	488
1092775	1430233.57	6821478.86	2012-04-27 07:00	2012-04-27	2012	4	27	7	3,8	W1203	17036	4276	488
1092776	1430234.06	6821563.81	2012-04-27 08:00	2012-04-27	2012	4	27	8	4,2	W1203	17036	4276	488
1092777	1430418.97	6821402.23	2012-04-27 09:00	2012-04-27	2012	4	27	9	4,8	W1203	17036	4276	488
1092778	1430383.32	6821401.84	2012-04-27 10:00	2012-04-27	2012	4	27	10	2,6	W1203	17036	4276	488
1092779	1430382.95	6821394.11	2012-04-27 11:00	2012-04-27	2012	4	27	11	2,6	W1203	17036	4276	488
1092780	1430392.03	6821389.08	2012-04-27 12:00	2012-04-27	2012	4	27	12	3,4	W1203	17036	4276	488
1092781	1430386.37	6821395.09	2012-04-27 13:00	2012-04-27	2012	4	27	13	3	W1203	17036	4276	488
1092782	1430380.51	6821392.71	2012-04-27 14:00	2012-04-27	2012	4	27	14	3,2	W1203	17036	4276	488
1092783	1430238.9	6821431.44	2012-04-27 15:00	2012-04-27	2012	4	27	15	3,8	W1203	17036	4276	488
1092784	1430305.62	6821442.3	2012-04-27 16:00	2012-04-27	2012	4	27	16	4,4	W1203	17036	4276	488
1092785	1430308.09	6821462.51	2012-04-27 17:00	2012-04-27	2012	4	27	17	2,4	W1203	17036	4276	488
1092786	1430314.07	6821460.21	2012-04-27 18:00	2012-04-27	2012	4	27	18	2,8	W1203	17036	4276	488
1092787	1430209.74	6821359.78	2012-04-27 19:00	2012-04-27	2012	4	27	19	3	W1203	17036	4276	488
1092788	1430509.19	6821439.59	2012-04-27 20:00	2012-04-27	2012	4	27	20	3,8	W1203	17037	4277	488
1092789	1430673.27	6821723.75	2012-04-27 21:00	2012-04-27	2012	4	27	21	1,8	W1203	17037	4277	488
1092790	1430675.93	6821844.67	2012-04-27 22:00	2012-04-27	2012	4	27	22	2,6	W1203	17239	4277	488
1092791	1430679.55	6821850.79	2012-04-27 23:00	2012-04-27	2012	4	27	23	4	W1203	17239	4277	488
