,width,profil,diameter
0,125,80,12
1,125,80,13
2,125,80,__OTHER__
3,125,__OTHER__,__OTHER__
4,135,70,13
5,135,70,15
6,135,70,__OTHER__
7,135,80,12
8,135,80,13
9,135,80,14
10,135,80,15
11,135,80,__OTHER__
12,135,__OTHER__,__OTHER__
13,145,60,13
14,145,60,__OTHER__
15,145,65,14
16,145,65,15
17,145,65,__OTHER__
18,145,70,12
19,145,70,13
20,145,70,__OTHER__
21,145,80,10
22,145,80,12
23,145,80,13
24,145,80,14
25,145,80,15
26,145,80,__OTHER__
27,145,90,16
28,145,90,__OTHER__
29,145,__OTHER__,__OTHER__
30,155,55,14
31,155,55,__OTHER__
32,155,60,15
33,155,60,20
34,155,60,__OTHER__
35,155,65,13
36,155,65,14
37,155,65,15
38,155,65,__OTHER__
39,155,70,12
40,155,70,13
41,155,70,14
42,155,70,19
43,155,70,__OTHER__
44,155,80,12
45,155,80,13
46,155,80,14
47,155,80,15
48,155,80,__OTHER__
49,155,__OTHER__,__OTHER__
50,165,35,17
51,165,35,18
52,165,35,__OTHER__
53,165,40,16
54,165,40,17
55,165,40,__OTHER__
56,165,45,15
57,165,45,16
58,165,45,17
59,165,45,__OTHER__
60,165,50,15
61,165,50,16
62,165,50,__OTHER__
63,165,55,13
64,165,55,14
65,165,55,15
66,165,55,__OTHER__
67,165,60,12
68,165,60,14
69,165,60,15
70,165,60,__OTHER__
71,165,65,13
72,165,65,14
73,165,65,15
74,165,65,__OTHER__
75,165,70,10
76,165,70,12
77,165,70,13
78,165,70,14
79,165,70,__OTHER__
80,165,75,14
81,165,75,__OTHER__
82,165,80,13
83,165,80,14
84,165,80,15
85,165,80,__OTHER__
86,165,__OTHER__,__OTHER__
87,175,50,13
88,175,50,15
89,175,50,16
90,175,50,__OTHER__
91,175,55,15
92,175,55,16
93,175,55,17
94,175,55,20
95,175,55,__OTHER__
96,175,60,13
97,175,60,14
98,175,60,15
99,175,60,16
100,175,60,19
101,175,60,__OTHER__
102,175,65,13
103,175,65,14
104,175,65,15
105,175,65,__OTHER__
106,175,70,13
107,175,70,14
108,175,70,15
109,175,70,__OTHER__
110,175,75,14
111,175,75,16
112,175,75,__OTHER__
113,175,80,13
114,175,80,14
115,175,80,15
116,175,80,16
117,175,80,__OTHER__
118,175,__OTHER__,__OTHER__
119,185,35,17
120,185,35,__OTHER__
121,185,45,15
